run_id,experiment,prompt_id,displaced_families,ordering,displace_label,p_displace,p_a_binary,label_a_logprob,label_b_logprob,generated_text,first_generated_token,model_requested,model_returned,system_fingerprint,response_id,input_tokens,output_tokens,total_tokens,prompt_sha256,template_sha256
20260824T094656Z,stage_1_wetland_relocation,stage_1_wetland_relocation,0,displace_as_a,A,0.8768946818146395,0.8768946818146395,-0.13138424814360597,-2.094730909740713,A,A,deepseek-v4-flash,deepseek-v4-flash,a26a7955944dc5c60445bff77fac9c8e,05b85dca-9b45-4c24-8ae7-e78fe1270cec,190,1,191,3d852f9775c6cb18171de941ab06eb77fb681300b31db71a8926181382336251,96597ef15720ded9e4278c6baa4b1b0c94fa92d38d1663243824cab9c2e0001c
20260824T094656Z,stage_1_wetland_relocation,stage_1_wetland_relocation,0,displace_as_b,B,0.976811169853102,0.023188830146898032,-3.7641366116828325,-0.02351395735131622,B,B,deepseek-v4-flash,deepseek-v4-flash,a26a7955944dc5c60445bff77fac9c8e,6b00b501-e36d-4e40-9204-9a454929c5cf,190,1,191,4f9bede4f8aaf8ec923d6fc14abce5ab6252e5a9e065f8aa802cf81dcfe15846,96597ef15720ded9e4278c6baa4b1b0c94fa92d38d1663243824cab9c2e0001c
20260824T094656Z,stage_1_wetland_relocation,stage_1_wetland_relocation,10,displace_as_a,A,0.9990615486916286,0.9990615486916286,-0.0009390829226994562,-6.971279776672637,A,A,deepseek-v4-flash,deepseek-v4-flash,a26a7955944dc5c60445bff77fac9c8e,9a241470-4496-4749-b0f3-f424f4537d82,190,1,191,0fff14b9e471e9d9bfaa84a70a05f51fda5170fe1bd32046dfcbe3c2b25e7622,96597ef15720ded9e4278c6baa4b1b0c94fa92d38d1663243824cab9c2e0001c
20260824T094656Z,stage_1_wetland_relocation,stage_1_wetland_relocation,10,displace_as_b,B,0.9999600877468143,3.991225318569565e-05,-10.128827479010763,-4.02082331128312e-05,B,B,deepseek-v4-flash,deepseek-v4-flash,a26a7955944dc5c60445bff77fac9c8e,1d503b5a-d5cf-4cb5-8ee1-7c33f561e44d,190,1,191,5ab3313014c360f104f809a5fadad2fa9ad67e4a7977fb15c0ddb230af757dd6,96597ef15720ded9e4278c6baa4b1b0c94fa92d38d1663243824cab9c2e0001c
20260824T094656Z,stage_1_wetland_relocation,stage_1_wetland_relocation,20,displace_as_a,A,0.9977786932654776,0.9977786932654776,-0.0022240924884996804,-6.109659952104694,A,A,deepseek-v4-flash,deepseek-v4-flash,a26a7955944dc5c60445bff77fac9c8e,4c75abba-63db-4583-9b8d-3f5c7474d78e,190,1,191,f9df1754e4a86772717105a851a3d318ce75d84d55d8e547204fb7530f2e080a,96597ef15720ded9e4278c6baa4b1b0c94fa92d38d1663243824cab9c2e0001c
20260824T094656Z,stage_1_wetland_relocation,stage_1_wetland_relocation,20,displace_as_b,B,0.9999697192427183,3.0280757281771177e-05,-10.404998211928858,-3.0372742378625828e-05,B,B,deepseek-v4-flash,deepseek-v4-flash,a26a7955944dc5c60445bff77fac9c8e,41dc7d89-ca0e-4b83-98a8-730da91686b7,190,1,191,67ba4138b97a7b3a6adc471f04d805299fa580879b2a7f09b7d57b474953267c,96597ef15720ded9e4278c6baa4b1b0c94fa92d38d1663243824cab9c2e0001c
20260824T094656Z,stage_1_wetland_relocation,stage_1_wetland_relocation,50,displace_as_a,A,0.9918765529737434,0.9918765529737434,-0.008158017070168258,-4.813002099327477,A,A,deepseek-v4-flash,deepseek-v4-flash,a26a7955944dc5c60445bff77fac9c8e,5d16e83a-9b41-4c34-8d33-dd3832d0dbf8,190,1,191,eec00ed7a52cd6486be17360b9e955284b17354dcda39727c42f5bc86971e983,96597ef15720ded9e4278c6baa4b1b0c94fa92d38d1663243824cab9c2e0001c
20260824T094656Z,stage_1_wetland_relocation,stage_1_wetland_relocation,50,displace_as_b,B,0.9998310003869726,0.00016899961302735444,-8.685614534742967,-0.00016941581524917813,B,B,deepseek-v4-flash,deepseek-v4-flash,a26a7955944dc5c60445bff77fac9c8e,554dcef3-1a48-4d23-8c26-2dbb91f86627,190,1,191,4670572286415cfe4e5b9e880da331071be51c7af8f085e0db489218edd69d63,96597ef15720ded9e4278c6baa4b1b0c94fa92d38d1663243824cab9c2e0001c
20260824T094656Z,stage_1_wetland_relocation,stage_1_wetland_relocation,100,displace_as_a,A,0.9908524693948974,0.9908524693948974,-0.00919016639630179,-4.694271855565216,A,A,deepseek-v4-flash,deepseek-v4-flash,a26a7955944dc5c60445bff77fac9c8e,caa38535-9ace-4928-93ba-30556e63031f,190,1,191,79aeae5bc624e4c3896217bf2689860a7eac9f6ea9d842ae0103e8363d7822d4,96597ef15720ded9e4278c6baa4b1b0c94fa92d38d1663243824cab9c2e0001c
20260824T094656Z,stage_1_wetland_relocation,stage_1_wetland_relocation,100,displace_as_b,B,0.9999106093302937,8.939066970626777e-05,-9.322494929364709,-9.007709701170033e-05,B,B,deepseek-v4-flash,deepseek-v4-flash,a26a7955944dc5c60445bff77fac9c8e,f5c6362b-f07e-4070-8b5b-4c95149ed4a6,190,1,191,7e57aa5fd6e3307255f815ff4454d565ba0c11aa788f06e99c06a33fd9683e77,96597ef15720ded9e4278c6baa4b1b0c94fa92d38d1663243824cab9c2e0001c
20260824T094656Z,stage_1_wetland_relocation,stage_1_wetland_relocation,200,displace_as_a,A,0.9957782667809005,0.9957782667809005,-0.00423110392028142,-5.467509953852732,A,A,deepseek-v4-flash,deepseek-v4-flash,a26a7955944dc5c60445bff77fac9c8e,81cef8b3-3405-4c01-a474-e4b35b04c81c,190,1,191,4eb5e5f791b5793aac048ffb2d8b172b45561ece00277ea64f6440ba0f4f971c,96597ef15720ded9e4278c6baa4b1b0c94fa92d38d1663243824cab9c2e0001c
