run_id,experiment,prompt_id,displaced_families,question_polarity,implementation_label,p_implement,semantic_logit_implement,p_yes_binary,yes_logprob,no_logprob,generated_text,first_generated_token,session_id,session_mode,model_requested,model_returned,system_fingerprint,response_id,input_tokens,output_tokens,total_tokens,prompt_sha256,template_sha256
20260824T101832Z,stage_1_wetland_implementation,stage_1_wetland_relocation,0,implement_question,Yes,0.9459331995418939,2.8619516253921695,0.9459331995418939,-0.05558781400971015,-2.91753943940188,Yes,Yes,stage1-2fec3087-4650-4499-abcc-72a7599f9ffd,stateless_one_turn_unique_user_id,deepseek-v4-flash,deepseek-v4-flash,a26a7955944dc5c60445bff77fac9c8e,8aa75c01-f225-48f0-b9a7-27d5f466baf7,201,1,202,47b633b81de4e1e613bdc1951ff50a5c28011026b06b908919c6d8f15a66fa4c,1f62a027b471cfdb5f96913d39919cc6504471373c341c58ddf86ef2242fc7f7
20260824T101832Z,stage_1_wetland_implementation,stage_1_wetland_relocation,0,reject_question,No,0.9548458909432218,3.051468671987581,0.045154109056778156,-3.097674387608608,-0.04620571562102711,No,No,stage1-8af68c27-b649-46c6-bfa2-a6bf754d2d0d,stateless_one_turn_unique_user_id,deepseek-v4-flash,deepseek-v4-flash,a26a7955944dc5c60445bff77fac9c8e,bffbb261-9679-4e76-bd64-fa0efdb209d2,201,1,202,1d88b4706787cd0578d749602903237d940f98c2da9fbf7e1bb54cfe732f1d6a,1f62a027b471cfdb5f96913d39919cc6504471373c341c58ddf86ef2242fc7f7
20260824T101832Z,stage_1_wetland_implementation,stage_1_wetland_relocation,1,implement_question,Yes,0.9718900361080506,3.543118566093763,0.9718900361080506,-0.028514238432675493,-3.5716328045264385,Yes,Yes,stage1-0fe91b07-4636-4038-abb7-b52fa7efc55f,stateless_one_turn_unique_user_id,deepseek-v4-flash,deepseek-v4-flash,a26a7955944dc5c60445bff77fac9c8e,3ce56d22-6a34-4b8d-9f0d-d2735bf0a8c9,201,1,202,92a6e6cd81109d65079a7633cac86b34e616de40b859d0e5ba5ccfec1d51ffd2,1f62a027b471cfdb5f96913d39919cc6504471373c341c58ddf86ef2242fc7f7
20260824T101832Z,stage_1_wetland_implementation,stage_1_wetland_relocation,1,reject_question,No,0.6173809321787529,0.4784463342789568,0.38261906782124716,-0.9607159511141358,-0.482269616835179,No,No,stage1-a20006b1-a460-4f2a-9f0c-4c56b512a4ff,stateless_one_turn_unique_user_id,deepseek-v4-flash,deepseek-v4-flash,a26a7955944dc5c60445bff77fac9c8e,65101c76-bc53-43af-9f81-a444cc2a3ab3,201,1,202,2af4639b7d5e232ebe65ee951f5672eef3afde7603240512d06b312c6d63507e,1f62a027b471cfdb5f96913d39919cc6504471373c341c58ddf86ef2242fc7f7
20260824T101832Z,stage_1_wetland_implementation,stage_1_wetland_relocation,10,implement_question,Yes,0.9812384607368537,3.957006518782393,0.9812384607368537,-0.01894075454665898,-3.975947273329052,Yes,Yes,stage1-0f9959f1-9709-4651-8d98-31d7ad95249a,stateless_one_turn_unique_user_id,deepseek-v4-flash,deepseek-v4-flash,a26a7955944dc5c60445bff77fac9c8e,997fa69a-5dc3-4097-8619-a6839fe6ce3b,201,1,202,618e7d0f831dcc0f319b05b7b5b627dc531ecc356e9e9d25241153bc01a5e3eb,1f62a027b471cfdb5f96913d39919cc6504471373c341c58ddf86ef2242fc7f7
20260824T101832Z,stage_1_wetland_implementation,stage_1_wetland_relocation,10,reject_question,No,0.8734613985504724,1.9319165254806312,0.1265386014495276,-2.0672088700451163,-0.13529234456448516,No,No,stage1-b9fb3c1e-7cce-466a-a2c4-408ad72b5d70,stateless_one_turn_unique_user_id,deepseek-v4-flash,deepseek-v4-flash,a26a7955944dc5c60445bff77fac9c8e,94f030e6-8494-40df-9525-a4a7408a7f3c,201,1,202,1286dcd5f8e9563a45ae227e282f9d74db0cb1d20f7eaf82b75a1dc718bffe9e,1f62a027b471cfdb5f96913d39919cc6504471373c341c58ddf86ef2242fc7f7
20260824T101832Z,stage_1_wetland_implementation,stage_1_wetland_relocation,100,implement_question,Yes,0.9853347845508124,4.20750307250941,0.9853347845508124,-0.014774897785916207,-4.222277970295326,Yes,Yes,stage1-e9f22d73-c132-4ab8-b201-1c021f095d47,stateless_one_turn_unique_user_id,deepseek-v4-flash,deepseek-v4-flash,a26a7955944dc5c60445bff77fac9c8e,57176e10-140a-476c-986d-c25cc8572326,201,1,202,ae01076043700745014124480a62d6858d5ea5638361f9bd3eb99d060dbb64c3,1f62a027b471cfdb5f96913d39919cc6504471373c341c58ddf86ef2242fc7f7
20260824T101832Z,stage_1_wetland_implementation,stage_1_wetland_relocation,100,reject_question,No,0.6289738023511351,0.5278169324296262,0.3710261976488649,-0.9914838065421292,-0.46366687411250296,Yes,Yes,stage1-989c8cc7-bbaf-4837-a651-338ff1d4b5fe,stateless_one_turn_unique_user_id,deepseek-v4-flash,deepseek-v4-flash,a26a7955944dc5c60445bff77fac9c8e,d88ae0b8-b156-4f44-b5ad-b3e2d9406f48,201,1,202,0b9f0804c8ba4d71aa4b6fb1380e771e1701a693fd7651c724fa163da1e7ba2b,1f62a027b471cfdb5f96913d39919cc6504471373c341c58ddf86ef2242fc7f7
20260824T101832Z,stage_1_wetland_implementation,stage_1_wetland_relocation,1000,implement_question,Yes,0.9947975348738356,5.253406657935277,0.9947975348738356,-0.005216446962363399,-5.25862310489764,Yes,Yes,stage1-0796929c-d4be-4236-8772-f2705a9ff1f5,stateless_one_turn_unique_user_id,deepseek-v4-flash,deepseek-v4-flash,a26a7955944dc5c60445bff77fac9c8e,588ce46e-9d0a-4dd7-8a1e-9b69877c885f,202,1,203,03afaa7c659a0399645d93842897cbcfbe26b3b01530fe12b3fe67af32382b96,1f62a027b471cfdb5f96913d39919cc6504471373c341c58ddf86ef2242fc7f7
20260824T101832Z,stage_1_wetland_implementation,stage_1_wetland_relocation,1000,reject_question,No,0.8228486724628341,1.5357679855570183,0.17715132753716584,-1.7307541780585045,-0.19498619250148613,No,No,stage1-e8186b39-008a-4efd-88f6-64124eaf50b1,stateless_one_turn_unique_user_id,deepseek-v4-flash,deepseek-v4-flash,a26a7955944dc5c60445bff77fac9c8e,febd0a87-4b77-40e7-8b90-679325758891,202,1,203,306695392b40b04c9eeb5d4dee196a24263fbefe656d0a8d495068bc40432644,1f62a027b471cfdb5f96913d39919cc6504471373c341c58ddf86ef2242fc7f7
